investor	('investor', 'investors')
know	('know', 'knows')
john	('john',)
hennessi	('hennessy',)
oct	('oct',)
23	('23',)
2018	('2018',)
dead	('dead',)
jensen	('jensen',)
huang	('huang', 'huangs')
gtc	('gtc',)
2013	('2013',)
post-moor	('post-moores',)
10	('10', '10s')
2	('2',)
8	('8',)
1980	('1980',)
1990	('1990',)
2000	('2000',)
2010	('2010',)
2020	('2020',)
2030	('2030',)
gpu-comput	('gpu-computing',)
perf	('perf',)
single-thread	('single-threaded',)
1x	('1x',)
trillion	('trillions', 'trillion')
second	('second',)
top	('tops', 'top')
innov	('innovation', 'innovators', 'innovated', 'innovations')
decad	('decades', 'decade')
singular	('singular',)
focu	('focus',)
million-x	('million-x',)
problem	('problem', 'problems')
layer	('layer', 'layers')
multi-gpu	('multi-gpus',)
multi-nod	('multi-nodes', 'multi-node')
center-scal	('center-scale',)
treat	('treating', 'treated')
storag	('storage',)
fabric	('fabric', 'fabrication')
edg	('edge',)
environ	('environments', 'environment')
cunumer	('cunumeric',)
cv-cuda	('cv-cuda',)
cuquantum	('cuquantum',)
parabrick	('parabricks',)
sionna	('sionna',)
jetpack	('jetpack',)
rapid	('rapids', 'rapid')
spark	('spark',)
cudnn	('cudnn',)
cugraph	('cugraph',)
triton	('triton',)
deepstream	('deepstream',)
flare	('flare',)
mag	('mag',)
io	('io',)
aerial	('aerial',)
egx	('egx',)
agx	('agx',)
super	('super',)
pod	('pod',)
igx	('igx',)
3-chip	('3-chips',)
cloud-to-edg	('cloud-to-edge',)
datacenter-to-	('datacenter-to-',)
300	('300',)
400	('400',)
startup	('startups', 'startup')
6k	('6k',)
14k	('14k',)
4m	('4m',)
8m	('8m',)
last	('last', 'lasted')
downloads*	('downloads*',)
40m	('40m',)
20m	('20m',)
*cumul	('*cumulative',)
000	('000',)
700	('700',)
multi-sid	('multi-sided',)
flywheel	('flywheel',)
best	('best',)
reach	('reach', 'reaching', 'reached', 'reaches')
rich	('rich',)
suit	('suite', 'suited')
let	('lets', 'let')
media	('media',)
entertain	('entertainment',)
healthcar	('healthcare',)
transport	('transportation',)
retail	('retail', 'retailer', 'retailers')
unmatch	('unmatched',)
speed	('speed',)
entir	('entire', 'entirely')
propel	('propelling', 'propel')
organ	('organizations', 'organization', 'organized')
wealth	('wealth',)
worldwid	('worldwide',)
960	('960',)
cpu-onli	('cpu-only',)
25x	('25x',)
84x	('84x',)
energy-effici	('energy-efficiency', 'energy-efficient')
re-engin	('re-engineered',)
magnum	('magnum',)
cuda-x	('cuda-x',)
bert-larg	('bert-large',)
dual-eypc	('dual-eypc',)
7763	('7763',)
dual-epyc	('dual-epyc',)
8x	('8x',)
l4	('l4',)
nvl	('nvl',)
functionally-saf	('functionally-safe',)
autonom	('autonomous',)
industrial-grad	('industrial-grade',)
logist	('logistics', 'logistical')
meet	('meeting', 'meetings', 'meet', 'meets')
transcript	('transcription',)
contact	('contact', 'contacted')
3b	('3b',)
minut	('minutes',)
day	('day', 'days')
500m	('500m',)
>1b	('>1b',)
smart	('smart',)
citi	('city', 'cities')
camera	('cameras',)
protect	('protection', 'protect', 'protections', 'protecting')
$94	('$94',)
5b	('5b',)
inventori	('inventory', 'inventories')
inspect	('inspection', 'inspections')
medic	('medical', 'medically')
$32m	('$32m',)
vision	('vision',)
sensor	('sensors', 'sensor')
10m	('10m',)
diagnost	('diagnostic',)
scan	('scans',)
10t	('10t',)
mile	('miles',)
credit	('credit', 'credited', 'credits')
card	('card', 'cards')
fraud	('fraud',)
28b	('28b',)
transact	('transactions', 'transaction', 'transactional')
1b	('1b',)
e-commerc	('e-commerce',)
visitor	('visitors',)
fundament	('fundamentally', 'fundamental')
refin	('refining', 'refine', 'refinance', 'refinement')
learn	('learned', 'learn', 'learning', 'learns')
percept	('perception', 'perceptions')
speech	('speech',)
buy	('buy',)
late	('late',)
2022	('2022',)
chatgpt	('chatgpt',)
usher	('ushered',)
text	('text',)
protein	('proteins',)
twin	('twins', 'twin')
interact	('interacts', 'interactive', 'interactions')
physic	('physical', 'physically', 'physics')
world-class	('world-class',)
nilson	('nilson',)
ih	('ihs',)
markit	('markit',)
similar	('similar',)
web	('web',)
nrf	('nrf',)
who	('who',)
abi	('abi',)
intern	('internal', 'international', 'internally', 'internationally')
analysi	('analysis',)
effort	('efforts', 'effort')
emul	('emulate',)
behavior	('behavior', 'behaviors')
real-tim	('real-time',)
via	('via',)
descriptor	('descriptor',)
html	('html',)
portal	('portals',)
av	('av',)
warehous	('warehouse', 'warehouses')
connector	('connectors',)
brows	('browsing',)
architect	('architects', 'architect')
hardwar	('hardware',)
supply-chain	('supply-chain',)
planner	('planners', 'planner')
data-driven	('data-driven',)
licens	('license', 'licensed', 'licensing', 'licenses')
modern	('modern', 'modernizing')
e	('e',)
g	('g',)
merlin	('merlin',)
monai	('monai',)
metropoli	('metropolis',)
cuopt	('cuopt',)
morpheu	('morpheus',)
tokkio	('tokkio',)
nvidia-host	('nvidia-hosted',)
edifi	('edify',)
start	('start', 'starting', 'starts', 'started')
prompt	('prompts', 'prompted')
streamlin	('streamlines',)
biomolecular	('biomolecular',)
chemistri	('chemistry',)
rna	('rna',)
dna	('dna',)
bionemo	('bionemo',)
research	('researchers', 'research', 'researcher')
biotech	('biotech',)
pharma	('pharma',)
chemic	('chemical', 'chemicals')
biolog	('biological', 'biology')
dataset	('datasets',)
specif	('specific', 'specification', 'specifically', 'specifications')
task	('task', 'tasks')
document	('documents', 'document', 'documenting')
write	('write', 'writing', 'writes')
analyz	('analyze', 'analyzed')
sentiment	('sentiment',)
paraphras	('paraphrase',)
thousand	('thousands', 'thousand')
do	('do', 'doing')
platform-as-a-servic	('platform-as-a-service',)
infrastructure-as-a-servic	('infrastructure-as-a-service',)
prem	('prem',)
hybrid	('hybrid',)
multi	('multi',)
go-to-market	('go-to-market',)
on-premis	('on-premises',)
everywher	('everywhere',)
$150b	('$150b',)
$100b	('$100b',)
$300b	('$300b',)
gamer	('gamers', 'gamer')
spend	('spending',)
consol	('consoles', 'console')
50m	('50m',)
per-serv	('per-server',)
per-year	('per-year',)
subscript	('subscription', 'subscriptions')
45m	('45m',)
per-us	('per-user',)
nic	('nics',)
100m	('100m',)
43	('43',)
42	('42',)
proviz	('proviz',)
auto	('auto',)
716	('716',)
918	('918',)
675	('675',)
$26	('$26',)
914	('914',)
974	('974',)
$20	('$20',)
699	('699',)
fy19	('fy19',)
fy20	('fy20',)
fy21	('fy21',)
fy22	('fy22',)
1h	('1h',)
januari	('january',)
round	('rounded',)
nearest	('nearest',)
percent	('percent',)
metric	('metrics', 'metric')
relat	('related', 'relations', 'relating', 'relate', 'relation', 'relates')
reserv	('reserves', 'reserve', 'reserved', 'reservation')
407	('407',)
735	('735',)
803	('803',)
$12	('$12',)
690	('690',)
040	('040',)
38%	('38%',)
34%	('34%',)
41%	('41%',)
52%	('52%',)
30%	('30%',)
40%	('40%',)
50%	('50%',)
60%	('60%',)
70%	('70%',)
$0	('$0',)
$15	('$15',)
233	('233',)
821	('821',)
947	('947',)
$17	('$17',)
969	('969',)
965	('965',)
$14	('$14',)
417	('417',)
62%	('62%',)
63%	('63%',)
66%	('66%',)
67%	('67%',)
59%	('59%',)
55%	('55%',)
65%	('65%',)
75%	('75%',)
$18	('$18',)
comparison	('comparison', 'comparisons')
a100	('a100',)
intel	('intel',)
categori	('category', 'categories')
mlperf	('mlperf',)
benchmark	('benchmark',)
incred	('incredible', 'incredibly')
dramat	('dramatic',)
node	('nodes', 'node')
$4m	('$4m',)
replac	('replace', 'replacement')
920	('920',)
$50m	('$50m',)
carri	('carry', 'carrying', 'carried')
determin	('determination', 'determines', 'determining', 'determine', 'determined', 'determinations', 'determinable')
board	('board', 'boards')
director	('directors', 'director')
7b	('7b',)
$8	('$8',)
$10b	('$10b',)
$398m	('$398m',)
fy	('fy',)
maintain	('maintain', 'maintained', 'maintaining', 'maintains')
strateg	('strategic',)
talent	('talent', 'talented')
capit	('capital', 'capitalization', 'capitalized', 'capitalize', 'capitalizations')
alloc	('allocation', 'allocated', 'allocable', 'allocate', 'allocating', 'allocates')
glanc	('glance',)
5-yr	('5-yr',)
cagr	('cagr',)
51%	('51%',)
10%	('10%',)
9b	('9b',)
hyperion	('hyperion',)
full	('full',)
cockpit	('cockpit',)
quadro	('quadro',)
33%	('33%',)
56%	('56%',)
6%	('6%',)
3%	('3%',)
932	('932',)
983	('983',)
696	('696',)
613	('613',)
005	('005',)
607	('607',)
leader	('leader', 'leaders')
#1	('#1',)
hyperscal	('hyperscale', 'hyperscaler')
rise	('rising', 'rise')
data-cent	('data-center',)
input	('input', 'inputs')
output	('output',)
today	('todays', 'today')
involv	('involving', 'involvement', 'involved', 'involves', 'involve')
time-consum	('time-consuming',)
technic	('technical',)
distribut	('distributed', 'distribution', 'distributions', 'distributing', 'distribute')
alexnet	('alexnet',)
vgg-19	('vgg-19',)
seq2seq	('seq2seq',)
resnet	('resnet',)
inceptionv3	('inceptionv3',)
xception	('xception',)
resnext	('resnext',)
densenet201	('densenet201',)
elmo	('elmo',)
moco	('moco',)
resnet50	('resnet50',)
wav2vec	('wav2vec',)
gpt-1	('gpt-1',)
bert	('bert',)
gpt-2	('gpt-2',)
xlnet	('xlnet',)
megatron	('megatron',)
t-nlg	('t-nlg',)
gpt-3	('gpt-3',)
megatron-tur	('megatron-turing',)
nlg	('nlg',)
530b	('530b',)
2012	('2012',)
2014	('2014',)
2015	('2015',)
2016	('2016',)
2017	('2017',)
2019	('2019',)
2021	('2021',)
2yr	('2yrs',)
275x	('275x',)
giant-scal	('giant-scale',)
246	('246',)
518	('518',)
759	('759',)
462	('462',)
067	('067',)
726	('726',)
steam	('steam',)
200m+	('200m+',)
richer	('richer',)
mix	('mix',)
ture	('turing',)
$699+	('$699+',)
3yr	('3yr',)
asp	('asp',)
unit	('units', 'unit', 'united')
20%	('20%',)
rtx3060+	('rtx3060+',)
cumul	('cumulative',)
sell-through	('sell-through',)
$	('$',)
12	('12',)
16	('16',)
17	('17',)
18	('18',)
19	('19',)
20	('20',)
week	('weeks', 'week')
after	('after',)
estim	('estimates', 'estimated', 'estimate', 'estimating')
3060+	('3060+',)
90%+	('90%+',)
130	('130',)
212	('212',)
053	('053',)
111	('111',)
544	('544',)
$674	('$674',)
$641	('$641',)
$700	('$700',)
$536	('$536',)
$566	('$566',)
$903	('$903',)
$549	('$549',)
infotain	('infotainment',)
next-gener	('next-generation',)
thor	('thor',)
fy26	('fy26',)
central	('centralized', 'central')
car	('car', 'cars')
software-defin	('software-defined',)
merced	('mercedes',)
benz	('benz',)
jaguar	('jaguar',)
land	('land',)
rover	('rover',)
$14b	('$14b',)
horizon	('horizon',)
neta	('neta',)
balanc	('balance', 'balancing', 'balances', 'balanced')
743	('743',)
761	('761',)
822	('822',)
108	('108',)
641	('641',)
143	('143',)
272	('272',)
677	('677',)
049	('049',)
750	('750',)
422	('422',)
897	('897',)
561	('561',)
21	('21',)
208	('208',)
296	('296',)
corpor	('corporate', 'corporation', 'corporations')
respons	('responsibility', 'responsible', 'response', 'responsibilities', 'responsibly', 'responses', 'responsive')
magazin	('magazines',)
influenti	('influential',)
workplac	('workplaces',)
fortun	('fortunes', 'fortune')
admir	('admired',)
wall	('wall',)
street	('street',)
journal	('journals',)
250	('250',)
all-star	('all-stars',)
america	('americas', 'america')
cnbc	('cnbc',)
newsweek	('newsweek',)
place	('places', 'place', 'placed', 'placing')
lgbt	('lgbt',)
equal	('equality', 'equal', 'equaled', 'equally')
human	('human', 'humanitys', 'humans')
right	('rights', 'right')
campaign	('campaign',)
typic	('typically',)
20x	('20x',)
fy25	('fy25',)
peopl	('people',)
life	('lifes', 'life')
consciou	('conscious',)
least	('least',)
scope	('scope',)
ghg	('ghg',)
emiss	('emissions',)
43%	('43%',)
gender	('gender',)
racial	('racially', 'racial')
ethnic	('ethnically', 'ethnicity', 'ethnic', 'ethnicities')
93%	('93%',)
independ	('independent', 'independence', 'independently')
govern	('governance', 'government', 'governments', 'governing', 'govern')
acquisition-rel	('acquisition-related',)
stock-bas	('stock-based',)
compens	('compensation', 'compensated', 'compensate')
b	('b',)
ip-rel	('ip-related',)
c	('c',)
adjust	('adjustments', 'adjusted', 'adjust', 'adjusting', 'adjustment')
614	('614',)
119	('119',)
31	('31',)
137	('137',)
842	('842',)
363	('363',)
calcul	('calculation', 'calculated', 'calculating')
499	('499',)
amort	('amortization', 'amortize', 'amortized')
intang	('intangible', 'intangibles')
good	('goods', 'good')
sold	('sold',)
sale	('sales', 'sale')
administr	('administrative', 'administration', 'administrator', 'administratively')
held	('held',)
contd	('contd',)
fy2023	('fy2023',)
53	('53',)
63	('63',)
fy2024	('fy2024',)
64	('64',)
percentag	('percentage', 'percentages')
27	('27',)
171	('171',)
61	('61',)
7%	('7%',)
39	('39',)
768	('768',)
62	('62',)
425	('425',)
88	('88',)
38	('38',)
396	('396',)
344	('344',)
141	('141',)
475	('475',)
455	('455',)
138	('138',)
356	('356',)
59	('59',)
636	('636',)
214	('214',)
76	('76',)
346	('346',)
57	('57',)
239	('239',)
58	('58',)
110	('110',)
69	('69',)
68	('68',)
step-up	('step-up',)
acquisit	('acquisition', 'acquisitions')
termin	('termination', 'terminates', 'terminated', 'terminate')
557	('557',)
804	('804',)
37	('37',)
32	('32',)
844	('844',)
846	('846',)
34	('34',)
26	('26',)
836	('836',)
397	('397',)
532	('532',)
004	('004',)
041	('041',)
47	('47',)
353	('353',)
674	('674',)
710	('710',)
224	('224',)
33	('33',)
280	('280',)
324	('324',)
227	('227',)
367	('367',)
311	('311',)
576	('576',)
941	('941',)
52	('52',)
settlement	('settlement', 'settlements')
restructur	('restructuring',)
purchas	('purchases', 'purchase', 'purchased', 'purchaser', 'purchasing')
properti	('property', 'properties')
equip	('equipment', 'equipped')
600	('600',)
489	('489',)
128	('128',)
976	('976',)
83	('83',)
794	('794',)
36	('36',)
001	('001',)
691	('691',)
537	('537',)
259	('259',)
950	('950',)
review	('review', 'reviews', 'reviewing', 'reviewed')
notic	('notice',)
proxi	('proxy', 'proxies')
reshap	('reshaping',)
societi	('society',)
diginomica	('diginomica',)
scientist	('scientists', 'scientist')
artist	('artists',)
adventur	('adventurers',)
take	('take', 'takes', 'taking')
tough	('tough',)
shape	('shape', 'shaping')
guid	('guided', 'guiding', 'guide')
us	('us',)
earth-2	('earth-2', 'earth-2s')
everyon	('everyone',)
cutting-edg	('cutting-edge',)
rig	('rig', 'rigs')
anyon	('anyone',)
smartphon	('smartphone', 'smartphones')
rent	('rent',)
play	('play', 'playing')
aaa	('aaa',)
fortnit	('fortnite',)
marvel	('marvels', 'marvell')
aveng	('avengers',)
look	('look', 'looking', 'looks')
they	('they',)
ever	('ever',)
befor	('before',)
invas	('invasion',)
stun	('stunning',)
ray-trac	('ray-traced',)
blockbust	('blockbusters',)
cyberpunk	('cyberpunk',)
2077	('2077',)
max	('max',)
blender	('blender',)
epic	('epic',)
unreal	('unreal', 'unrealized')
30	('30',)
high-end	('high-end',)
thin	('thin',)
light	('light',)
unleash	('unleashes',)
yet	('yet',)
mountain	('mountains',)
whole	('whole',)
type	('type', 'types')
emerg	('emerged', 'emerging', 'emerge', 'emergence')
becaus	('because',)
unveil	('unveiled',)
known	('known',)
convers	('conversational', 'conversion', 'conversely')
skill	('skills', 'skill', 'skilled')
state	('state', 'stated', 'states', 'stating')
art	('art', 'arts')
25	('25',)
hold	('holds', 'holding', 'hold', 'holdings')
kingdom	('kingdom',)
forb	('forbes',)
toy	('toy',)
maxin	('maxine',)
onlin	('online',)
ento	('entos',)
orbnet	('orbnet',)
graph	('graph', 'graphs')
neural	('neural',)
atom	('atomic',)
metavers	('metaverse',)
2d	('2d',)
cloud-bas	('cloud-based',)
phase	('phase', 'phases')
fuse	('fused',)
touch	('touch',)
accur	('accurate', 'accurately')
photorealist	('photorealistic',)
planet	('planet',)
earth	('earth', 'earths')
bmw	('bmw',)
group	('group', 'groups')
lockhe	('lockheed',)
martin	('martin',)
siemen	('siemens',)
pepsico	('pepsico',)
ericsson	('ericsson',)
amazon	('amazon',)
anym	('anymal',)
eth	('eth',)
zurich	('zurichs',)
four-leg	('four-legged',)
walk	('walk',)
wheel	('wheels',)
jetson	('jetson',)
isaac	('isaac',)
gym	('gym',)
glimps	('glimpse',)
machin	('machines', 'machine')
everyth	('everything',)
move	('moves', 'move')
someday	('someday',)
theyll	('theyll',)
perceiv	('perceive', 'perceived')
act	('act', 'acting', 'acts')
worker	('worker', 'workers')
road	('road',)
dashboard	('dashboard',)
split-	('split-',)
decis	('decisions', 'decision')
job	('job', 'jobs')
enorm	('enormous',)
had	('had',)
excel	('excellent', 'excellence', 'excel')
full-year	('full-year',)
91	('91',)
ago	('ago',)
123	('123',)
$399	('$399',)
dure	('during',)
prioriti	('priority', 'priorities')
expans	('expansion',)
serv	('serve', 'serves', 'served', 'serving')
truck	('trucks', 'truck', 'trucking')
taxi	('taxis',)
entri	('entry',)
past	('past',)
gpu-	('gpu-',)
sdk	('sdks', 'sdk')
kit	('kits', 'kit')
captur	('capture', 'captured')
expertli	('expertly',)
craft	('crafted', 'craft')
quantum	('quantum',)
cybersecur	('cybersecurity',)
while	('while',)
still	('still',)
few	('few',)
away	('away',)
combinatori	('combinatorial',)
heart	('heart',)
soul	('soul',)
scientif	('scientific',)
autom	('automated', 'automating', 'automation', 'automates', 'automate')
fleet	('fleets', 'fleet')
tensorflow	('tensorflow',)
pytorch	('pytorch',)
spectrum	('spectrum',)
dear	('dear',)
nvidian	('nvidians',)
61%	('61%',)
64%	('64%',)
+260	('+260',)
bp	('bps',)
+123%	('+123%',)
+61%	('+61%',)
$25	('$25',)
$30	('$30',)
73	('73',)
weve	('weve',)
dimens	('dimension',)
direct	('direction', 'direct', 'directed', 'directions', 'directive')
been	('been',)
worth	('worth',)
largest-ev	('largest-ever',)
confer	('conference', 'confers', 'conferences', 'confer')
rollout	('rollout',)
date	('date', 'dated', 'dates')
hopper-architecture-bas	('hopper-architecture-based',)
arriv	('arrived', 'arrival')
unbeliev	('unbelievable',)
order	('order', 'orders', 'ordering')
magnitud	('magnitude',)
ampere-bas	('ampere-based',)
introduc	('introduces', 'introduced', 'introduce')
breakthrough	('breakthrough',)
confidenti	('confidential', 'confidentially', 'confidentiality')
dynam	('dynamic', 'dynamics')
high-spe	('high-speed',)
one-terabyte-per-second	('one-terabyte-per-second',)
news	('news',)
gbp	('gbps',)
readi	('ready', 'readiness')
450	('450',)
reinvent	('reinvents', 'reinvented', 'reinventing', 'reinvent')
blur	('blurring', 'blurred')
real	('real',)
repeatedli	('repeatedly',)
shade	('shading',)
synthesi	('synthesis',)
warp	('warp',)
pull	('pulled', 'pull')
photoshop	('photoshop',)
walkthrough	('walkthroughs',)
showroom	('showrooms',)
possibl	('possible', 'possibility')
between	('between',)
realiti	('reality',)
therefor	('therefore',)
increasingli	('increasingly',)
pattern	('patterns', 'pattern')
relationship	('relationships', 'relationship')
previous	('previously',)
imposs	('impossible',)
spread	('spreading', 'spread')
raw	('raw',)
appli	('applying', 'applied', 'applies', 'apply')
hand	('hands', 'hand')
deck	('deck',)
huge	('huge',)
chapter	('chapter',)
hone	('hone',)
lay	('laying',)
brick	('brick',)
onc	('once',)
prototyp	('prototype',)
demonstr	('demonstrate', 'demonstrated', 'demonstrations')
improv	('improved', 'improve', 'improves', 'improvement', 'improving', 'improvements')
plant	('plants', 'plant')
mainten	('maintenance',)
util	('utility', 'utilize', 'utilization', 'utilized', 'utilizing')
interplay	('interplay',)
cell	('cells', 'cell')
sustain	('sustainability', 'sustained', 'sustainable')
solut	('solutions', 'solution')
download	('downloaded',)
150	('150',)
individu	('individual', 'individuals')
evalu	('evaluated', 'evaluating', 'evaluates', 'evaluate', 'evaluations', 'evaluation')
add	('adds', 'add')
ten	('tens', 'ten')
roboticist	('roboticists',)
festo	('festo',)
recognit	('recognition',)
suggest	('suggest', 'suggestion')
song	('song',)
dawn	('dawning', 'dawn')
shelv	('shelves',)
instrument	('instruments', 'instrument', 'instrumentation', 'instrumental')
procedur	('procedures', 'procedural')
insid	('inside', 'insider')
ride	('riding',)
along	('along',)
navig	('navigation',)
fulfil	('fulfillment', 'fulfill', 'fulfilling')
clean	('cleaning',)
last-mil	('last-mile',)
holoscan	('holoscan',)
ai-pow	('ai-powered',)
medical-grad	('medical-grade',)
surgic	('surgical',)
upcom	('upcoming',)
inflect	('inflection',)
multibillion-dollar	('multibillion-dollar',)
mercedes-benz	('mercedes-benzs', 'mercedes-benz')
battl	('battle',)
live	('living', 'live', 'lives')
field	('field', 'fields')
democrat	('democratized',)
door	('door',)
grandest	('grandest',)
multi-phys	('multi-physics',)
atmospher	('atmosphere', 'atmospheric')
sea	('sea',)
ice	('ice',)
cap	('caps', 'capped', 'cap')
suffici	('sufficiently', 'sufficient')
high	('high',)
resolut	('resolution', 'resolutions')
action	('actions', 'action')
extrem	('extreme', 'extremely')
weather	('weather',)
implic	('implications',)
earli	('early',)
evid	('evidence',)
succeed	('succeed',)
berkeley	('berkeley',)
caltech	('caltech',)
michigan	('michigan',)
purdu	('purdue',)
rice	('rice',)
forecast	('forecasting', 'forecasted', 'forecast', 'forecasts')
fourcastnet	('fourcastnet',)
hurrican	('hurricanes',)
river	('rivers',)
rain	('rain',)
000x	('000x',)
took	('took',)
numer	('numerical', 'numerous', 'numerator')
hope	('hope',)
mitig	('mitigation', 'mitigates', 'mitigate', 'mitigating')
adapt	('adaptation', 'adaption', 'adapter', 'adapt', 'adapters')
brightest	('brightest',)
mind	('minds', 'mind')
threat	('threats', 'threat')
fantast	('fantastic',)
noth	('nothing',)
me	('me',)
prouder	('prouder',)
want	('want',)
so	('so',)
true	('true',)
honor	('honor',)
rank	('ranked', 'ranking')
glassdoor	('glassdoors',)
list	('list', 'listed', 'listing', 'lists')
u	('u',)
employe	('employees', 'employee')
alon	('alone',)
i	('i',)
am	('am',)
grate	('grateful',)
commun	('communities', 'communicate', 'communications', 'community', 'communication', 'communicating', 'communicates', 'communicated')
join	('joined', 'joining')
$22	('$22',)
charit	('charitable',)
area	('areas', 'area')
enter	('enter', 'enters', 'entered')
momentum	('momentum',)
substanti	('substantial', 'substantially')
stride	('strides',)
diversifi	('diversifying',)
never	('never',)
histori	('history', 'histories')
thank	('thank',)
amaz	('amazing',)
excit	('exciting', 'excited')
lie	('lie',)
seek	('seek', 'seeking', 'seeks')
ceo	('ceo', 'ceos')
founder	('founder', 'founders')
april	('april',)
abil	('abilities', 'ability')
nvdia	('nvdia',)
detail	('detailed', 'details', 'detail')
exchang	('exchange', 'exchanges', 'exchanged')
commiss	('commission',)
speak	('speak',)
onli	('only',)
hereof	('hereof',)
stockhold	('stockholders', 'stockholder')
thursday	('thursday',)
june	('june',)
m	('m',)
pacif	('pacific',)
daylight	('daylight',)
locat	('location', 'locate', 'locations')
www	('www',)
virtualshareholdermeet	('virtualshareholdermeeting',)
com	('com',)
nvda2022	('nvda2022',)
elect	('election', 'elected', 'elections', 'elect', 'electing', 'elects')
thirteen	('thirteen',)
nomin	('nominated', 'nomination', 'nominating', 'nominations', 'nominal', 'nominate')
advisori	('advisory',)
approv	('approval', 'approve', 'approved', 'approving', 'approves', 'approvals')
ratif	('ratification',)
select	('selection', 'select', 'selections', 'selects', 'selected')
pricewaterhousecoop	('pricewaterhousecoopers',)
llp	('llp', 'llps')
regist	('registered', 'register')
account	('accounting', 'accounts', 'account', 'accountability', 'accountants', 'accountant', 'accounted')
firm	('firm', 'firms')
amend	('amendment', 'amended', 'amendments', 'amend')
restat	('restated', 'restatement', 'restate', 'restatements')
certif	('certificate', 'certification', 'certifications', 'certificates')
incorpor	('incorporation', 'incorporated', 'incorporate', 'incorporates', 'incorporating')
common	('common',)
2007	('2007',)
equiti	('equity',)
incent	('incentive', 'incentives')
properli	('properly',)
brought	('brought',)
attend	('attend', 'attendance', 'attending', 'attended')
vote	('vote', 'voting', 'votes', 'voted')
close	('close', 'closing', 'closely', 'closed')
entitl	('entitled',)
electron	('electronically', 'electronic', 'electronics')
valid	('valid', 'validity', 'validating', 'validate', 'validated')
purpos	('purpose', 'purposes')
shareholdermeeting@nvidia	('shareholdermeeting@nvidia',)
admiss	('admission',)
particip	('participate', 'participation', 'participants', 'participant', 'participated')
control	('control', 'controls')
print	('printed', 'print')
pre-meet	('pre-meeting',)
forum	('forum', 'forums')
establish	('established', 'establishes', 'establish', 'establishing')
proxyvot	('proxyvote',)
submit	('submit', 'submitted', 'submits', 'submitting')
veri	('very',)
altern	('alternative', 'alternatively', 'alternatives')
telephon	('telephone',)
receiv	('receive', 'received', 'receives', 'receiving', 'receivable', 'receivables')
paper	('paper', 'papering')
mail	('mail', 'mailing')
regard	('regarding', 'regard', 'regarded')
timothi	('timothy',)
teter	('teter', 'teters')
secretari	('secretary',)
2788	('2788',)
san	('san',)
toma	('tomas',)
expressway	('expressway',)
california	('california', 'californias')
95051	('95051',)
tabl	('table', 'tables')
page	('page',)
definit	('definitions', 'definition', 'definitive')
propos	('proposal', 'proposals', 'proposed')
nomine	('nominees', 'nominee')
24	('24',)
member	('members', 'member')
leadership	('leadership',)
structur	('structure', 'structural', 'structured', 'structures')
role	('role', 'roles')
oversight	('oversight',)
polici	('policies', 'policy')
committe	('committees', 'committee')
social	('social', 'socially')
person	('persons', 'person', 'personal')
ownership	('ownership',)
benefici	('beneficial', 'beneficially')
owner	('owners', 'owner')
grant	('grants', 'grant', 'granted', 'granting')
plan-bas	('plan-based',)
award	('awards', 'award', 'awarded')
outstand	('outstanding',)
january\xa030	('january\\xa030',)
54	('54',)
option	('option', 'options')
exercis	('exercises', 'exercise', 'exercisable', 'exercisability', 'exercised', 'exercising')
vest	('vested', 'vest', 'vesting', 'vests')
employ	('employment', 'employed', 'employ', 'employer')
change-in-control	('change-in-control',)
arrang	('arrangements', 'arrangement')
potenti	('potential', 'potentially')
pay	('pay', 'paying')
ratio	('ratio', 'ratios')
interlock	('interlocks',)
fee	('fees', 'fee')
bill	('billed', 'bills', 'billing')
audit	('audit', 'auditing', 'audited', 'audits')
51	('51',)
77	('77',)
delinqu	('delinquent',)
section	('section', 'sections')
a-1	('a-1',)
b-1	('b-1',)
mean	('meaning', 'means', 'mean')
litig	('litigation', 'litigating')
reform	('reform', 'reforms')
1995	('1995',)
assumpt	('assumptions', 'assumption')
case	('cases', 'case')
identifi	('identify', 'identified', 'identifies', 'identifying')
term	('terms', 'term')
would	('would',)
express	('expressions', 'expression', 'expressed', 'express')
varieti	('variety',)
significantli	('significantly',)
espp	('espp',)
ac	('ac', 'acs')
asc	('asc',)
718	('718',)
fasb	('fasb',)
codif	('codification',)
topic	('topic', 'topics')
necessari	('necessary',)
variabl	('variable', 'variability')
sy	('sy',)
psu	('psus', 'psu')
elig	('eligible', 'eligibility')
cc	('cc', 'ccs')
cd&a	('cd&a',)
chief	('chief',)
offic	('officer', 'officers', 'office', 'offices')
cfo	('cfo',)
charter	('charter', 'charters')
delawar	('delaware',)
identif	('identification',)
csr	('csr',)
esg	('esg',)
1934	('1934',)
20__	('20__',)
sunday	('sunday',)
march	('march',)
principl	('principles', 'principle')
1986	('1986',)
my	('my',)
multi-year	('multi-year',)
three-year	('three-year',)
nasdaq	('nasdaq', 'nasdaqs')
llc	('llc',)
ncgc	('ncgc',)
neo	('neos', 'neo')
name	('named', 'name', 'names')
highli	('highly',)
respect	('respective', 'respectively', 'respected', 'respect', 'respects')
stock-	('stock-',)
nyse	('nyse',)
york	('york',)
pac	('pacs',)
polit	('political', 'politics')
pwc	('pwc', 'pwcs')
rsu	('rsu', 'rsus')
restrict	('restricted', 'restrictions', 'restrict', 'restricting', 'restricts')
s&p	('s&p',)
poor	('poors',)
composit	('composite', 'composition')
index	('index',)
